Domain,MBFC,MBFC factual,BF,FC,PF,WI,factual,rating
100percentfedup.com,FN,L,,,,,left,fake-news
10news.one,FN,L,,,,,left,fake-news
12minutos.com,FN,L,1.0,,,,left,fake-news
21stcenturywire.com,CP,M,,,,,mixed,conspiracy-pseudoscience
24aktuelles.com,,,1.0,,,,unknown,BF1
369news.net,CP,M,,,,,mixed,conspiracy-pseudoscience
79days.news,CP,VL,,,,,very-low,conspiracy-pseudoscience
911truth.org,CP,L,,,,,left,conspiracy-pseudoscience
a-news24.com,,,,,fake-news,,unknown,fake-news
aapsonline.org,FN,L,,,,,left,fake-news
abcbusinessnews.com,FN,M,,,,,mixed,fake-news
abovetopsecret.com,CP,L,,,,,left,conspiracy-pseudoscience
acpeds.org,FN,M,,,,,mixed,fake-news
activistpost.com,CP,L,,,,,left,conspiracy-pseudoscience
actualite.co,,,1.0,,,,unknown,BF1
adflegal.org,FN,L,,,,,left,fake-news
adobochronicles.com,S,,1.0,,,,unknown,satire
ae911truth.org,CP,M,,,,,mixed,conspiracy-pseudoscience
afa.net,FN,L,,,,,left,fake-news
aim4truth.org,CP,M,,,,,mixed,conspiracy-pseudoscience
albawaba.com,FN,M,,,,,mixed,fake-news
alexanderhiggins.com,CP,M,,,,,mixed,conspiracy-pseudoscience
allianceforadvancedhealth.com,CP,M,,,,,mixed,conspiracy-pseudoscience
allnewspipeline.com,FN,L,,,,,left,fake-news
alphanewsmn.com,FN,L,,,,,left,fake-news
alt-market.com,CP,M,,,,,mixed,conspiracy-pseudoscience
alternativenews.com,CP,L,,,,,left,conspiracy-pseudoscience
althealthworks.com,CP,L,,,,,left,conspiracy-pseudoscience
america.cgtn.com,FN,M,,,,,mixed,fake-news
americanactionnews.com,FN,M,,,,,mixed,fake-news
americandigitalnews.com,CP,M,,,,,mixed,conspiracy-pseudoscience
americanfreepress.net,CP,L,,,,,left,conspiracy-pseudoscience
americanjournalreview.com,FN,L,,1.0,,,left,fake-news
americanlookout.com,FN,L,,,,,left,fake-news
americanpatriotdaily.com,FN,M,,,,,mixed,fake-news
americanpeopledaily.com,FN,L,,,,,left,fake-news
americanprinciplesproject.org,FN,L,,,,,left,fake-news
americansfortruth.com,FN,VL,,,,,very-low,fake-news
americanthinker.com,FN,L,,,,,left,fake-news
americantruthtoday.com,FN,L,,,,,left,fake-news
americasfreedomfighters.com,FN,VL,,1.0,,,very-low,fake-news
amren.com,FN,L,,,,,left,fake-news
amtvmedia.com,CP,L,,,,,left,conspiracy-pseudoscience
analyzingamerica.org,FN,M,,,,,mixed,fake-news
ancient-code.com,CP,M,,,,,mixed,conspiracy-pseudoscience
ancient-origins.net,CP,M,,,,,mixed,conspiracy-pseudoscience
anh-usa.org,CP,M,,,,,mixed,conspiracy-pseudoscience
anonews.co,FN,M,,,,,mixed,fake-news
anonhq.com,CP,VL,,,,,very-low,conspiracy-pseudoscience
apost.com,CP,M,,,,,mixed,conspiracy-pseudoscience
arabnews.com,FN,M,,,,,mixed,fake-news
archaeology-world.com,FN,M,,,,,mixed,fake-news
asia-pacificresearch.com,CP,M,,,,,mixed,conspiracy-pseudoscience
assassinationscience.com,CP,L,,,,,left,conspiracy-pseudoscience
auburntimes.com,FN,M,,,,,mixed,fake-news
australiannationalreview.com,CP,L,,,,,left,conspiracy-pseudoscience
autismspeaks.org,CP,M,,,,,mixed,conspiracy-pseudoscience
avoiceformen.com,FN,L,,,,,left,fake-news
awarenessact.com,CP,L,,,some-fake,,left,conspiracy-pseudoscience
awm.com,FN,M,,,,,mixed,fake-news
baldwintimes.com,FN,M,,,,,mixed,fake-news
banned.video,CP,VL,,,,,very-low,conspiracy-pseudoscience
barenakedislam.com,FN,L,,,,,left,fake-news
basnews.com,FN,M,,,,,mixed,fake-news
bb4sp.com,FN,L,,,fake-news,,left,fake-news
bdnews24.com,FN,M,,,,,mixed,fake-news
bebest.website,,,1.0,,,,unknown,BF1
beforeitsnews.com,FN,L,,,fake-news,1.0,left,fake-news
beholdisrael.org,CP,M,,,,,mixed,conspiracy-pseudoscience
benjaminfulford.typepad.com,,,,,fake-news,,unknown,fake-news
biggovernment.news,CP,VL,,,,,very-low,conspiracy-pseudoscience
bigleaguepolitics.com,FN,L,,,,,left,fake-news
billionbibles.org,FN,VL,,,,,very-low,fake-news
biodefense.com,CP,VL,,,,,very-low,conspiracy-pseudoscience
biologos.org,CP,M,,,,,mixed,conspiracy-pseudoscience
bipartisanreport.com,FN,M,,,,,mixed,fake-news
bitchute.com,FN,VL,,,,,very-low,fake-news
blackeyepolitics.com,FN,L,,,,,left,fake-news
blackgenocide.org,FN,L,,,,,left,fake-news
blacklistednews.com,CP,M,,,,,mixed,conspiracy-pseudoscience
blacknews.com,FN,M,,,,,mixed,fake-news
blingnews.com,FN,L,,1.0,,,left,fake-news
bluntforcetruth.com,FN,L,,,,,left,fake-news
bongino.com,FN,M,,,,,mixed,fake-news
bossip.com,FN,M,,,,,mixed,fake-news
bostonleader.com,,,1.0,,parody,,unknown,parody
breaking911.com,FN,VL,,,,,very-low,fake-news
breakingchristiannews.com,FN,L,,,,,left,fake-news
breakingfirst.com,FN,L,,,,,left,fake-news
breakingnews247.net,,,1.0,,imposter,,unknown,imposter
breakingnews365.net,,,1.0,,imposter,,unknown,imposter
breakingwide.com,FN,M,,,,,mixed,fake-news
breitbart.com,FN,M,,,,,mixed,fake-news
brightside.me,CP,M,,,,,mixed,conspiracy-pseudoscience
buffalochronicle.com,FN,M,,,,,mixed,fake-news
bugout.news,CP,VL,,,,,very-low,conspiracy-pseudoscience
burrardstreetjournal.com,S,,1.0,,,,unknown,satire
bvanews.com,,,,,,1.0,unknown,unknown
cair.com,FN,M,,,,,mixed,fake-news
caixinglobal.com,FN,M,,,,,mixed,fake-news
caldronpool.com,FN,M,,,,,mixed,fake-news
campusinsanity.com,CP,VL,,,,,very-low,conspiracy-pseudoscience
canadafreepress.com,FN,L,,,,,left,fake-news
cancer.news,CP,VL,,,,,very-low,conspiracy-pseudoscience
cannasos.com,,,,,some-fake,,unknown,some-fake
cap-news.com,FN,VL,,,,,very-low,fake-news
carm.org,CP,L,,,,,left,conspiracy-pseudoscience
catholic.org,CP,M,,,,,mixed,conspiracy-pseudoscience
cei.org,FN,L,,,,,left,fake-news
censored.news,FN,L,,,,,left,fake-news
centerforsecuritypolicy.org,FN,M,,,,,mixed,fake-news
cernovich.com,FN,M,,,,,mixed,fake-news
cfact.org,CP,L,,,,,left,conspiracy-pseudoscience
channel18news.com,,,1.0,,imposter,,unknown,imposter
channel22news.com,,,1.0,,,,unknown,BF1
channel23news.com,,,1.0,1.0,,,unknown,BF1
channel24news.com,,,1.0,,imposter,,unknown,imposter
channel28news.com,,,1.0,,,,unknown,BF1
channel33news.com,,,1.0,,,,unknown,BF1
channel34news.com,,,1.0,,,,unknown,BF1
channel40news.com,,,1.0,,,,unknown,BF1
channel45news.com,,,1.0,,,,unknown,BF1
channel46news.com,,,1.0,,,,unknown,BF1
charismanews.com,CP,M,,,,,mixed,conspiracy-pseudoscience
childrenshealthdefense.org,CP,L,,,,,left,conspiracy-pseudoscience
chinadaily.com.cn,FN,M,,,,,mixed,fake-news
chlorellafactor.com,CP,VL,,,,,very-low,conspiracy-pseudoscience
christianaction.org,FN,L,,,,,left,fake-news
christianscience.com,CP,L,,,,,left,conspiracy-pseudoscience
churchmilitant.com,FN,M,,,,,mixed,fake-news
cityworldnews.com,FN,VL,,,,,very-low,fake-news
clarionproject.org,FN,L,,,,,left,fake-news
clashdaily.com,FN,L,,,fake-news,,left,fake-news
climate.news,FN,VL,,,,,very-low,fake-news
climatechangedispatch.com,CP,L,,,,,left,conspiracy-pseudoscience
climatedepot.com,CP,M,,,,,mixed,conspiracy-pseudoscience
climatism.blog,CP,L,,,,,left,conspiracy-pseudoscience
cloverchronicle.com,FN,L,,,,,left,fake-news
cnn-globalnews.com,FN,VL,1.0,,,,very-low,fake-news
cnoticias.net,,,1.0,,,,unknown,BF1
cnsnews.com,FN,L,,,,,left,fake-news
coasttocoastam.com,CP,L,,,,,left,conspiracy-pseudoscience
collapse.news,CP,VL,,,,,very-low,conspiracy-pseudoscience
collective-evolution.com,CP,L,,,,,left,conspiracy-pseudoscience
concernedwomen.org,FN,L,,,,,left,fake-news
consciouslifenews.com,CP,M,,,,,mixed,conspiracy-pseudoscience
conservapedia.com,FN,M,,,,,mixed,fake-news
conservativeammo.com,FN,L,,,,,left,fake-news
conservativeangle.com,,,,1.0,,,unknown,FC1
conservativebeaver.com,FN,VL,,,,,very-low,fake-news
conservativedailypost.com,FN,L,,,fake-news,,left,fake-news
conservativefiringline.com,FN,M,,,,,mixed,fake-news
conservativefreepress.com,FN,L,,,,,left,fake-news
conservativefrontline.com,,,,,,1.0,unknown,unknown
conservativepapers.com,FN,M,,,,,mixed,fake-news
conservativepost.com,FN,L,,1.0,,,left,fake-news
conspiracydailyupdate.com,CP,L,,,,,left,conspiracy-pseudoscience
consumerwellness.org,CP,VL,,,,,very-low,conspiracy-pseudoscience
corbettreport.com,CP,L,,,,,left,conspiracy-pseudoscience
cosmicintelligenceagency.com,CP,L,,,,,left,conspiracy-pseudoscience
counterpsyops.com,CP,M,,,,,mixed,conspiracy-pseudoscience
counterthink.com,CP,VL,,,,,very-low,conspiracy-pseudoscience
creation.com,CP,L,,,,,left,conspiracy-pseudoscience
csglobe.com,CP,L,,,,,left,conspiracy-pseudoscience
curiousmindmagazine.com,CP,L,,,,,left,conspiracy-pseudoscience
daily-vine.com,,,,1.0,,,unknown,FC1
dailybuzzlive.com,FN,VL,,,fake-news,1.0,very-low,fake-news
dailygrail.com,CP,M,,,,,mixed,conspiracy-pseudoscience
dailyheadlines.net,FN,L,,,,,left,fake-news
dailyhealthpost.com,CP,L,,,,,left,conspiracy-pseudoscience
dailyoccupation.com,CP,L,,,,,left,conspiracy-pseudoscience
dailypoliticalnewswire.com,FN,M,,,,,mixed,fake-news
dailystar.co.uk,FN,M,,,,,mixed,fake-news
dailysurge.com,R,M,,,fake-news,,mixed,right
dailyworldupdate.us,S,,1.0,,,,unknown,satire
darkjournalist.com,CP,L,,,,,left,conspiracy-pseudoscience
dataasylum.com,CP,L,,,,,left,conspiracy-pseudoscience
davidharrisjr.com,FN,L,,,,,left,fake-news
davidicke.com,CP,VL,,,,,very-low,conspiracy-pseudoscience
davidwolfe.com,CP,M,,,,,mixed,conspiracy-pseudoscience
dcbluedot.com,FN,M,,,,,mixed,fake-news
dcclothesline.com,FN,L,,,,,left,fake-news
dcdirtylaundry.com,FN,VL,,,,,very-low,fake-news
dcgazette.com,FN,L,,,,1.0,left,fake-news
debka.com,FN,M,,,,,mixed,fake-news
decaturtimes.com,FN,M,,,,,mixed,fake-news
deepleftfield.info,FN,M,,,,,mixed,fake-news
defiantamerica.com,FN,L,,,,,left,fake-news
democraticunderground.com,L,M,,,fake-news,,mixed,left
democrats.org,FN,M,,,,,mixed,fake-news
deplorablekel.com,FN,L,,,,,left,fake-news
digifection.com,FN,L,,,,,left,fake-news
disclose.tv,CP,L,,,fake-news,1.0,left,conspiracy-pseudoscience
discoverthenetworks.org,FN,L,,,,,left,fake-news
discovery.org,CP,L,,,,,left,conspiracy-pseudoscience
disobedientmedia.com,CP,M,,,,,mixed,conspiracy-pseudoscience
distributednews.com,CP,VL,,,,,very-low,conspiracy-pseudoscience
djhjmedia.com,FN,L,,,,,left,fake-news
dnyuz.com,FN,M,,,,,mixed,fake-news
doctoroz.com,CP,M,,,,,mixed,conspiracy-pseudoscience
draxe.com,CP,M,,,,,mixed,conspiracy-pseudoscience
earthpulse.com,CP,L,,,,,left,conspiracy-pseudoscience
ecalabamanews.com,FN,M,,,,,mixed,fake-news
ecology.news,CP,VL,,,,,very-low,conspiracy-pseudoscience
economictimes.indiatimes.com,FN,M,,,,,mixed,fake-news
educate-yourself.org,CP,VL,,,,,very-low,conspiracy-pseudoscience
educateinspirechange.org,CP,M,,,,,mixed,conspiracy-pseudoscience
electroverse.net,CP,L,,,,,left,conspiracy-pseudoscience
eluxemagazine.com,CP,M,,,,,mixed,conspiracy-pseudoscience
emirates247.com,FN,M,,,,,mixed,fake-news
empireherald.com,FN,L,1.0,,imposter,1.0,left,fake-news
empirenews.net,S,,1.0,1.0,parody,1.0,unknown,satire
empiresports.co,S,,1.0,,parody,1.0,unknown,satire
en-bref.fr,,,1.0,,,,unknown,BF1
en-volve.com,FN,VL,,1.0,fake-news,,very-low,fake-news
en.mediamass.net,,,1.0,,,,unknown,BF1
en.mehrnews.com,FN,M,,,,,mixed,fake-news
en.metapedia.org,FN,L,,,,,left,fake-news
en.newsner.com,FN,VL,,,,,very-low,fake-news
endthefed.org,FN,L,,,,,left,fake-news
eng.majalla.com,FN,M,,,,,mixed,fake-news
english.alarabiya.net,FN,M,,,,,mixed,fake-news
english.cctv.com,FN,M,,,,,mixed,fake-news
escapeallthesethings.com,CP,L,,,,,left,conspiracy-pseudoscience
eugenics.news,CP,VL,,,,,very-low,conspiracy-pseudoscience
eutimes.net,CP,M,,,,,mixed,conspiracy-pseudoscience
everylegalvote.com,FN,L,,,,,left,fake-news
everytown.org,FN,M,,,,,mixed,fake-news
evil.news,FN,L,,,,,left,fake-news
evolutionnews.org,CP,L,,,,,left,conspiracy-pseudoscience
ewg.org,CP,M,,,,,mixed,conspiracy-pseudoscience
explainlife.com,FN,VL,,,,,very-low,fake-news
extraordinaryinfo.com,CP,M,,,,,mixed,conspiracy-pseudoscience
fabiosa.com,CP,M,,,,,mixed,conspiracy-pseudoscience
factcheckingturkey.com,FN,M,,,,,mixed,fake-news
factswanted.com,FN,M,,,,,mixed,fake-news
fairus.org,FN,L,,,,,left,fake-news
faithit.com,CP,M,,,,,mixed,conspiracy-pseudoscience
faithpanda.com,CP,M,,,,,mixed,conspiracy-pseudoscience
familysurvivalheadlines.com,FN,M,,,,,mixed,fake-news
fellowshipoftheminds.com,CP,L,,1.0,,,left,conspiracy-pseudoscience
femalista.com,FN,M,,,,,mixed,fake-news
filmingcops.com,FN,M,,,,,mixed,fake-news
firstpost.com,RC,MF,,,some-fake,,mostly-factual,RC
flagandcross.com,FN,M,,,,,mixed,fake-news
focusonthefamily.com,FN,L,,,,,left,fake-news
food.news,CP,VL,,,,,very-low,conspiracy-pseudoscience
foodbabe.com,CP,M,,,,,mixed,conspiracy-pseudoscience
foodmatters.com,CP,M,,,,,mixed,conspiracy-pseudoscience
foreverconscious.com,CP,L,,,,,left,conspiracy-pseudoscience
fortherightnews.com,FN,L,,,,,left,fake-news
foxnews-us.com,,,1.0,,,,unknown,BF1
frc.org,FN,L,,,,,left,fake-news
freedom.news,CP,VL,,,,,very-low,conspiracy-pseudoscience
freedomadvocates.org,CP,L,,,,,left,conspiracy-pseudoscience
freedomainradio.com,CP,M,,,,,mixed,conspiracy-pseudoscience
freedomdaily.com,FN,L,,,fake-news,,left,fake-news
freedomnewsreport.com,FN,M,,,,,mixed,fake-news
freeinfomedia.com,,,,,fake-news,,unknown,fake-news
freerepublic.com,R,M,,,some-fake,,mixed,right
freetelegraph.com,FN,M,,,,,mixed,fake-news
freewoodpost.com,S,,1.0,,parody,,unknown,satire
friatider.se,FN,L,,,,,left,fake-news
friendsofscience.org,CP,M,,,,,mixed,conspiracy-pseudoscience
fromthetrenchesworldreport.com,CP,L,,,,,left,conspiracy-pseudoscience
front.moveon.org,FN,M,,,,,mixed,fake-news
frontpagemag.com,FN,L,,,,,left,fake-news
fury.news,FN,VL,,,,,very-low,fake-news
gadsdentoday.com,FN,M,,,,,mixed,fake-news
gaia.com,CP,L,,,,,left,conspiracy-pseudoscience
gatestoneinstitute.org,FN,M,,,,,mixed,fake-news
gellerreport.com,FN,L,,1.0,,,left,fake-news
geoengineering.news,CP,VL,,,,,very-low,conspiracy-pseudoscience
geoengineeringwatch.org,CP,L,,,,,left,conspiracy-pseudoscience
geopol.institute,FN,L,,,,,left,fake-news
geopolitics.co,CP,M,,,,,mixed,conspiracy-pseudoscience
getholistichealth.com,CP,L,,,,,left,conspiracy-pseudoscience
ghost.report,FN,M,,,,,mixed,fake-news
glitch.news,CP,VL,,,,,very-low,conspiracy-pseudoscience
globalhealingcenter.com,CP,M,,,,,mixed,conspiracy-pseudoscience
globalinfotoday.com,FN,L,,,,,left,fake-news
globalresearch.ca,CP,L,,,,1.0,left,conspiracy-pseudoscience
globalskywatch.com,CP,L,,,,,left,conspiracy-pseudoscience
globaltimes.cn,FN,M,,,,,mixed,fake-news
globemagazine.com,FN,VL,,,,,very-low,fake-news
gmo.news,CP,VL,,,,,very-low,conspiracy-pseudoscience
gmwatch.org,CP,M,,,,,mixed,conspiracy-pseudoscience
gnews.org,FN,L,,,,,left,fake-news
godandscience.org,CP,L,,,,,left,conspiracy-pseudoscience
godfatherpolitics.com,FN,M,,,,,mixed,fake-news
godlikeproductions.com,CP,L,,,,,left,conspiracy-pseudoscience
goodgopher.com,FN,VL,,,,,very-low,fake-news
goop.com,CP,L,,,,,left,conspiracy-pseudoscience
gop.com,FN,M,,,,,mixed,fake-news
gop.gov,FN,M,,,,,mixed,fake-news
gossipmillsa.com,,,,,,1.0,unknown,unknown
gotquestions.org,CP,L,,,,,left,conspiracy-pseudoscience
govtslaves.com,CP,L,,,,,left,conspiracy-pseudoscience
grainoftruth.ca,FN,VL,,,,,very-low,fake-news
greanvillepost.com,CP,M,,,,,mixed,conspiracy-pseudoscience
greatamericandaily.com,FN,L,,,,,left,fake-news
greatamericanrepublic.com,FN,L,,,,,left,fake-news
greenmedinfo.com,CP,L,,,,,left,conspiracy-pseudoscience
greenpeace.org,CP,M,,,,,mixed,conspiracy-pseudoscience
greenvillegazette.com,L,L,,,,,left,left
grunge.com,FN,M,,,,,mixed,fake-news
gucmakale.com,FN,M,,,,,mixed,fake-news
gulagbound.com,CP,L,,,,,left,conspiracy-pseudoscience
gulfnews.com,FN,M,,,,,mixed,fake-news
halturnerradioshow.com,,,,,,1.0,unknown,unknown
hangthebankers.com,FN,L,,,,,left,fake-news
hannity.com,FN,L,,,,,left,fake-news
hardnews.network,FN,M,,,,,mixed,fake-news
headtopics.com,FN,M,,,,,mixed,fake-news
healingfoodreference.com,CP,VL,,,,,very-low,conspiracy-pseudoscience
healingoracle.ch,CP,VL,,,,,very-low,conspiracy-pseudoscience
health.news,CP,VL,,,,,very-low,conspiracy-pseudoscience
healthimpactnews.com,CP,L,,,,,left,conspiracy-pseudoscience
healthnutnews.com,CP,VL,,,,,very-low,conspiracy-pseudoscience
healthranger.com,CP,VL,,,,,very-low,conspiracy-pseudoscience
healthrangerreport.com,CP,VL,,,,,very-low,conspiracy-pseudoscience
healthy-holistic-living.com,CP,L,,,,,left,conspiracy-pseudoscience
healthyandnaturalworld.com,CP,M,,,,,mixed,conspiracy-pseudoscience
healthyfoodhouse.com,CP,L,,,,,left,conspiracy-pseudoscience
heartland.org,FN,L,,,,,left,fake-news
heightpost.com,,,,,some-fake,,unknown,some-fake
hellochristian.com,CP,M,,,,,mixed,conspiracy-pseudoscience
herb.co,CP,M,,,,,mixed,conspiracy-pseudoscience
herbreference.com,CP,VL,,,,,very-low,conspiracy-pseudoscience
higherperspectives.com,CP,M,,,some-fake,,mixed,conspiracy-pseudoscience
hoggwatch.com,FN,L,,,,,left,fake-news
home.nra.org,FN,M,,,,,mixed,fake-news
hotglobalnews.com,,,1.0,,,,unknown,BF1
hsionline.com,CP,L,,,,,left,conspiracy-pseudoscience
humansarefree.com,CP,L,,,,,left,conspiracy-pseudoscience
huntsvilleleader.com,FN,M,,,,,mixed,fake-news
huzlers.com,S,,1.0,,parody,1.0,unknown,satire
iceagenow.info,CP,L,,,,,left,conspiracy-pseudoscience
icr.org,CP,VL,,,,,very-low,conspiracy-pseudoscience
iflscience.com,CP,M,,,,,mixed,conspiracy-pseudoscience
ifyouonlynews.com,FN,VL,,,,,very-low,fake-news
iharare.com,FN,M,,,,,mixed,fake-news
ihatethemedia.com,FN,L,,,,,left,fake-news
ihealthtube.com,CP,L,,,,,left,conspiracy-pseudoscience
iheartintelligence.com,CP,M,,,,,mixed,conspiracy-pseudoscience
ihr.org,FN,VL,,,,,very-low,fake-news
ihypocrite.net,FN,M,,,,,mixed,fake-news
illegalaliencrimereport.com,FN,M,,,,,mixed,fake-news
illicitinfo.com,FN,L,,,,,left,fake-news
illuminati-news.com,CP,L,,,,,left,conspiracy-pseudoscience
illuminatiwatcher.com,CP,L,,,,,left,conspiracy-pseudoscience
ilovemyfreedom.org,FN,VL,,,,,very-low,fake-news
imowired.com,FN,VL,,,,,very-low,fake-news
independentminute.com,,,,,some-fake,,unknown,some-fake
independentsciencenews.org,CP,M,,,,,mixed,conspiracy-pseudoscience
independentsentinel.com,FN,M,,,,,mixed,fake-news
indiatimes.com,RC,M,,,some-fake,,mixed,RC
infiniteunknown.net,CP,L,,,,,left,conspiracy-pseudoscience
infogalactic.com,FN,L,,,,,left,fake-news
informationclearinghouse.info,CP,M,,,,,mixed,conspiracy-pseudoscience
informationliberation.com,FN,L,,,,,left,fake-news
inforos.ru,FN,L,,,,,left,fake-news
infoscum.com,FN,M,,,,,mixed,fake-news
infowars.com,CP,VL,,1.0,,1.0,very-low,conspiracy-pseudoscience
ingredients.news,CP,VL,,,,,very-low,conspiracy-pseudoscience
innerstrength.zone,FN,M,,,,,mixed,fake-news
intellihub.com,CP,L,,,,,left,conspiracy-pseudoscience
investmentwatchblog.com,CP,M,,,,,mixed,conspiracy-pseudoscience
iowaclimate.org,CP,L,,,,,left,conspiracy-pseudoscience
